,capital,southwest
April 2018,30122,26320
April 2019,37086,29524
April 2020,38162,14832
August 2018,74596,39907
August 2019,85817,45507
August 2020,missing,3710
December 2018,12277,16680
December 2019,14720,12995
December 2020,missing,3830
February 2018,9265,17837
February 2019,3517,14423
February 2020,11547,10031
January 2018,9649,14641
January 2019,8878,13510
January 2020,11158,8172
July 2018,90426,43771
July 2019,87847,47535
July 2020,missing,5946
June 2018,75397,29879
June 2019,72684,38911
June 2020,77062,31395
March 2018,22646,23732
March 2019,15753,22487
March 2020,23914,12583
May 2018,67130,37713
May 2019,53892,35571
May 2020,64309,26193
November 2018,16424,19598
November 2019,15569,16827
November 2020,missing,4135
October 2018,32402,26852
October 2019,35890,27957
October 2020,missing,2767
September 2018,57742,36272
September 2019,63782,38184
September 2020,missing,2774
